Purje Nro,Veneen nimi,Kippari,Veneen tyyppi,lys,lähtöaika,maalissa,purj.aika,tas.aika
7647,Nordwest IV,Tero Valtonen,Guyline 355,"1,04",11.30.30,14.39.05,3.09.05,3.16.38
2295,Felina,Matti Niemelä,FE 83,"1,03",11.30.00,14.42.40,3.12.40,3.18.26
3728,Taikatuulia,Joonas Vasama,Albin Delta,"1,07",11.33.00,14.43.31,3.10.31,3.23.51
33,Viola,Ilkka Olkkonen,Lady Helsman,"1,11",11.36.00,14.41.23,3.05.23,3.25.46
4430,Iida II,Esko Salminen,Diva 39,"1,21",11.46.00,14.36.10,2.50.10,3.25.54
10628,Crista,Esko Mickelsson,Elan 37,"1,22",11.46.00,14.40.39,2.54.39,3.33.54
