Purje Nro,Veneen nimi,Kippari,Veneen tyyppi,lys,lähtöaika,maalissa,purj.aika,tas.aika
2880,LillMarie,Matti Arpalahti,Sirena 38,"1,20",11.45.00,15.46.06,4.01.16,4.49.19
2295,Felina,Matti Niemelä,FE 83,"1,04",11.30.00,16.12.43,4.42.43,4.54.01
5347,True Blue,Aki Tuominen,Finn Flyer 31,"1,12",11.30.00,15.56.25,4.26.25,4.58.23
33,Viola,Ilkka Olkkonen,Lady Helsman,"1,12",11.30.00,16.00.05,4.30.05,5.02.29
10357,Boat 4U ei jäs.,Jan Forsblom,Ridas 31,"1,20",11.45.00,15.57.08,4.12.08,5.02.33
10313,Aiolos,Timo Kairama,Elan 40,"1,26",11.45.00,15.49.36,4.04.36,5.08.11
4430,Iida II,Esko Salminen,Diva 39,"1,22",11.45.00,15.58.07,4.13.07,5.08.48
238,Ulrica,Asko Rahikkala,Rasmus 35,"1,00",11.30.00,DNF,DNF,DNF
1085,Kiskeri,Mikko Kemppainen,Albin Expres,"1,08",11.30.00,DNF,DNF,DNF
