Purje Nro,Veneen nimi,Kippari,Veneen tyyppi,lys,lähtöaika,maalissa,purj.aika,tas.aika
5547,True Blue,Aki Tuominen,Finn Flyer 31,"1,15",12.00.00,17.30.06,5.30.06,6.19.36
2429,Fenja,Tapio Fagerström,Siesta 32,"1,12",12.00.00,17.39.38,5.39.38,6.20.23
2295,Felina,Matti Niemelä,FE 83,"1,07",11.45.00,17.43.06,5.58.06,6.23.10
3100,Shinook,Pekka Erlin,Inferno 29,"1,11",12.00.00,17.46.04,5.46.04,6.24.08
6643,Venda,Pertti Johansson,Sun Wind 311,"1,06",11.45.00,18.01.06,6.16.06,6.38.39
7647,Nord West IV,Lauri Pohjanen,Gay 355,"1,07",11.45.00,18.02.02,6.17.02,6.43.25
2880,Lill Marie,Matti Arpalahti,Sirena 38,"1,23",12.00.00,17.29.31,5.29.31,6.45.18
756,Kristiina,Mikko Vuolahti,Dufour 31,"1,06",11.45.00,DNF,DNF,DNF
