Purje Nro,Veneen nimi,Kippari,Veneen tyyppi,lys,lähtöaika,maalissa,purj.aika,tas.aika
2880,Lill Marie,Matti Arpalahti,Sirena 38,"1,20",11.30.00,14.48.52,3.18.52,3.58.38
2295,Felina,Matti Niemelä,FE 83,"1,04",11.15.00,15.10.59,3.55.59,4.05.25
5347,True Blue,Aki Tuominen,Finn Flyer 31 R,"1,12",11.30.00,15.12.46,3.42.46,4.09.29
2429,Fenja,Tapio Fagerström,Siesta 32,"1,12",11.30.00,15.14.49,3.44.49,4.11.47
7419,Vinko,Timo Kairama,Inferno 31,"1,12",11.30.00,15.16.40,3.46.40,4.13.52
3771,Rising Sun,Pentti Jansson,Teemin,"0,93",11.15.00,15.48.10,4.33.10,4.14.02
4430,Iida II,Esko Salminen,Diva 39,"1,22",11.30.00,15.02.48,3.32.48,4.19.37
283,Ulrica,Asko Rahikkala,Rasmus 35,"1,00",11.15.00,15.37.46,4.22.46,4.22.46
3728,Taikatuulia,Reijo Vasama,Albin Delta,"1,09",11.30.00,15.38.41,4.08.41,4.31.03
